2K
CMOS
CMS
CMW+ (SCO)
CobaltOS
COBRA 
Co-Create
Coherent
College
Commodore OS Vision
Condorux
Conectiva Linux
CONSENSYS
Contiki
ConvexOS
Cool Linux CD
CoreBiz
Coreboot
Corel Linux
CoreOS
COS
Cosy
Counterpoise
Coyote
CP/K
CP/M
CP/NET
CP/Z
CPF (Control Program Facility)
CPIX
Craftworks Linux
Cromix
Cronus
CrunchBang
CrunchEee
CRUX
CSOC
CTOS
CTSS
Cub Linux
CX/SX
Cygnus
CYGWIN
DAC
Damn Small Linux
Damn Vulnerable Linux
Danix
DARKSTAR
Darwin
Data General
DC/OSx
DCN
DCP
DDNOS
Debian GNU/Linux
Debian Linux
Debris Linux
Deep-Water
Deft Linux
Degenerate OS
DeLi
Delitalk
Delix Linux
Dell Networking OS10
DELL UNIX
Deming OS
DEMOS
Denix
DesktopBSD
DESKWORK
Devil
DG/UX
DIGITAL UNIX
dingOS
Dizinha
DK/DOS
DLD
DNALinux
DNIX
DOMAIN
Domain OS
DOS
DOS 50
DOS2
Dosket
Draco Linux
Dragon Linux
Dragora
DRBL live
DR-DOS
Dreamlinux
dr'ex
Drops
Drywell OS
DS-OS
DTOS
Dualix
DUnix
DVIX
Dynabolic
dyne:bolic
DYNIX Unix (Sequent)
DYNIX/ptx
Dzongkha
E/OS LX Desktop
Eadem
Eagle
eAR OS
Easy Peasy
easyLinux
easys
ECL-3211
eComStation
ECOS
ECOSPRO
Edubuntu
eduKnoppix
EduLinux
EduOS
EDX
EGOS
Ehad
Eisfair
ekkoBSD
Elate
Elbuntu
ELE
eLearnix
elementary OS
ELF
Elfstone Linux
ELinOS
Elive
ELKS
ELP
ELX
Elysium
Embedix
EMBOS
EMMOS
Endian
Endless OS
EnGarde
EOS
EP/IX
EPOC
EPOS
ERaMS
ERIKA
EROS
ERPOSS
ESER
ESIX
ESKO
ESware
Eumel
EuNIX
Euronode
EvilEntity Linux
Evinux
Exopc
ExOS
Express
EzPlanet One
FAMELIX
Famos
FaunOS
FDOS
Feather
Featherweight
Fedora
Fermi
ffsearch-LiveCD
Fiasco
Finnix
Firefox OS
Fiubbix
Flamethrower
Flash
FlashOS
FlexOS
FlightLinux
FlingOS
Flonix
FLP-80 DOS
Flux
Fluxbuntu
Flux-Fluke-Flask
FluxFlux-Eee
FMS
FOONEX
Foresight
FoRK
Formilux
FORTH
FortiOS
FoX Desktop
Freduc
FREEBSD
FreeDOS
FreeDOWS
Freeduc
free-EOS
FreeNAS
Freepia
FreeSBIE
Freespire
FreeVMS
FreevoLive
Freezy
Frenzy
Frugalware
FTOSX
Fuchsia
FullPliant
FunatixOS
FusionSphere
FUZZ
FxOS
GalliumOS
GazOS
GCOS
GECOS
GeekOS
GeeXboX
Gelecek
Gemini Nucleus
Genera
GenieOS
Gentoo
Gentoox
GEOLivre
GEORGE
GEOS
Gibraltar
Ging
Giotto
Glendix
GM OS
gNewSense
GNIX
Gnoppix
GNU Hurd
GNUbie Linux
gnuLinEx
GNUstep
Go
Goah
GoblinX
GoboLinux
GoodGoat Linux
gOS (Google OS)
Gould OS
GParted
GPOS
Grafpup
Granular Linux
Grasshopper
grml
Guadalinex
GUIDE
Guix
GuLIC-BSD
H3Knix
Haansoft
Hactar
Haïku
Hakin9
Halloween Linux
HA-MSP
Hancom
Harmony
HDOS
Hedinux
Helios
Helix
Heretix
HES
Hikarunix
Hive
Hiweed
Holon
HOLON Linux
Honeywall
HOPE
How-Tux
HP-87 OS
HP-UX
HT-11
Hubworx
Hurd
Hurricane
HydrixOS
i5/OS
IBM PC-DOS
iBox
IBSYS
Icaros Desktop
ICE Linux
Icepack Linux
ICL Unix
IDMS
Igel Linux
Igelle
Ignalum
IMAGEN
Immunix
Impi
IMPRESS
Independence
IndLinux
Inferno
INMOS
Instant WebKiosk
INSTANT-INTERNET
INTEGRITY RTOS
INTERCOM
INTERLISP
iOS
iOS 4 (iPhone)
iOS 5 (iPhone)
iOS 6 (iPad)
iOS 6 (iPhone)
iOS 7 (iPad)
iOS 7 (iPhone)
iOS 8 (iPad)
iOS 8 (iPhone)
iOS 8.1 (iPad)
iOS 8.1 (iPhone)
iOS 8.2 (iPad)
iOS 8.2 (iPhone)
iOS 8.3 (iPad)
iOS 8.3 (iPhone)
iOS 8.4 (iPad)
iOS 8.4 (iPhone)
iOS 9 (iPad)
iOS 9 (iPhone)
IPCop
Iridium OS
IRIX
iRMX
IRTS
ISC (Interactive)
ISI-68020
ISIS
ISSL
ITRON
ITS
JAMB
JavaOS
Jbed
JBLinux
JeniOS
Jeo-OS
JeOS
Jibbed
Joli OS
Jolicloud
JoLinux
JOS
JTMOS
Julex
JUNOS
Jurix Linux
Juxlala
JxOS
K Linux
K12LTSP
Kaboot
Kaella
KaiOS
Kaladix Linux
Kalango
Kali Linux
KANOTIX
KAOS
Karamad
Kaspersky OS
KateOS
Katix
K-DEMar
Kea
Kerberos
KeyKOS
Kinneret
Kiwi Linux
Klax
Klikit-Linux
kmLinux
knopILS
Knoppel
Knopperdisk
Knoppix
Knoppix 64
KnoppiXMAME
KnoppMyth
KnoSciences
Kodibuntu
KolibriOS
Komodo
Kondara Linux
Kongoni
Korora
KOS
KOSOS
KRONOS
KROS
KRUD
Kubuntu
Kuki Linux
Kurumin
Kwort
Kylin
l OS
L.A.S.
L13Plus
L4
LainOS
LAN Manager
LDOS
Leetnux
LegOS
leJOS
Lerntux
LFS
LG3D
LibraNet Linux
LibreCMC
LIIS
Linare
LindowsOS
Lineox
LinEspa
LinnexOS
Linpus
Linspire
Linux
Linux (Kindle 3)
Linux Antarctica
Linux by LibraNet
Linux DA OS
Linux Mint
Linux XP
Linux+ Live
LINUX-1.0
LINUX-1.2
LINUX-2.0
LINUX-2.2
LINUX-2.4
LINUX-2.6
Linux4One
LinuxConsole
Linux-EduCD
LinuxMCE
LINUXO
LinuxOne
LinuxPPC
LinuxTLE
Lin-X
Lisa OS
LISP
LISPM
Litrix
LiveCD Router
LiveKiosk
LiVux
LLGP
LliureX
LNX-BBC
Loco
LOCUS
Lormalinux
LST Linux
LTSP
LTSS
LUC3M
Luit
Lunar
LuteLinux
LXDEbian
Lycoris Desktop/LX
LynxOS
m0n0wall
Mac OS
Mac OS 10
Mac OS 8
Mac OS 9
Mac OS X
Mac OS X (iPad)
Mac OS X (iPhone)
Mac OS X (iPod)
Mach
MACOS
macOS X
Maemo
Mageia
Magic
Mandrake
Mandrake Linux
Mandriva
Mangaka
MANOS
MaRTE OS
Maruti
Masix
Master
Maverick OS
MAX
MaxOS
Mayix
MBOS
MCNLive
MCP (Master Control Program)
MDOS
Media Lab
Mediainlinux
MeeGo
MenuetOS
MEPIS
Merlin
Micriµm
MICRODOS
MicroOS
MicroVMS
MidnightBSD
MikeOS
MiniKazit
Minima
Minislack
MINIX
Minoca OS
MINOS
Minux
Miracle
Miranda
Miray µnOS
MirOS
MITE 80/IOS
MK++
MkLinux
ML
Möbius
Moblin
Mockup
ModulOS
MoLinux
Momonga
Monitor
Monoppix
Monte Vista Linux
MoonOS
MOPS
Morphix
MorphOS
MOS
MOSIX
MostlyLinux
MoviX
MPE OS
MPE/IX
MPE/V
MPE5
MRT1700
MSC
MSDOS
MS-DOS
MS-DOS 1.x
MS-DOS 2.x
MS-DOS 3.x
MS-DOS 4.x
MS-DOS 5.x
MS-DOS 6.x
MSOS
MT809
Mulimidix
muLinux
Multi Distro
MULTICS
Mungi
Muriqui
MURIX
MUSIC
MUSIC/SP
Musix
Mutagenix
MUTOS
muVinix
MVS
MVS/SP
MX Linux
Myah OS
myLinux
NachOS
Nasgaïa
Nature's
Navyn OS
NCR Unix
NEC DOS
NECUX
Nemesis
NeOS
NepaLinux
NetBSD
NETBSD-1.0
NETBSD-1.1
NETBSD-1.2
NETBSD-1.3
NetMAX DeskTOP
NetSecL
Netstation Linux
Netware
NETWARE-3
NETWARE-3.11
NETWARE-4.0
NETWARE-4.1
NETWARE-5.0
Netwosix
NewDeal
NEWDOS
NewOS
NEWS-OS
Newton OS
Nexenta
NexentaOS
NEXTSTEP
NextworksOS
NEXUS
Niigata
NimbleX
Nimbus
Nintendo Wii
NintendOS
Nitix
NMS
Node OS
NoMad Linux
NONSTOP
Nonux
NOS
NOS/BE
NOS/VE
NOS-2
Nova
Novell DOS
NS/GDOS
NSK
NST
NTDIOS
NTOS
nUbuntu
Nucleus
Nuclinux
NuxOne
Oaesis
Oasis
Oberon
Objex
OcNOS
Ocularis
Odin
Ola Dom
Omega
Omega 4
Omoikane
On Time RTOS-32
OnCore
Onebase Linux
O-Net
Opal
Open ProgeX
OpenArtist
OpenBeOS
OPENBSD
OpenDarwin
OpenLab
OpenLinux
OpenLX
OpenMamba
OpenMediaVault
OpenNA
OpenRavenscar
OpenServer
OpenSolaris
OpenVision
OPENVME
OPENVMS
Openwall
Operating system
Operator
OppcOS
Oracle Linux
Oralux
OS/2
OS/2 Warp
OS/360
OS/390
OS/400
OS/9
OS/DDP
OS/ES
OS/M
OS-2
OS4
OS86
OS-9
OS-C
osCAN
OSE
OSF/1
OSX
OSx16
Other
Overclockix
OZONE
P BASIC
P!tux
PAIPIX
PAKOS
paldo
Palm OS
PAPL
Parabola
ParallelKnoppix
Paramecium
Pardus
ParixOS
Paros
Parsix
Parsix GNU/Linux
PaulOS
PC/M-System
PC/OS
PC-BSD
PCDOS
PC-DOS
PCLinuxOS
PC-MOS/386
PDOS
PEACE
Peanut Linux
Pebble
Pegasos
PelicanHPC
Penguin Sleuth
Pentoo
Peppermint
Pequelin
PERQ/OS
PETROS
pfSense
Phaeronix
Phantom OS
Phantomix
Phat Linux
PHLAK
Phos
Pie Box
PikeOS
Pilot
Pingo
Pingwinek
Pioneer Linux
PIOS
PizziOS
Plamo
Plan 9
PLD
Plex86
PLI
PLoP Linux
PM_SZ_OS
Pocket Linux
PocketPC 2003
Poseidon
POSTed
Power Desktop
PowerMAX
PowerOS
PowerSX
PowerUX
Pozix Linux
pQui
PRIMOS
Privatix
ProDOS
Progeny
Prologue
Proolix
ProOSEK
ProteanOS
ProTech
PSDOS/MIT
PSOS
pSOSystem
PSU
PTS DOS
PublicOS
PUD
Pulsar Linux
Puppy
PURE
Puredyne
QDOS
QiLinux
Qimo
QNX
Qplus
Quadros
Quantian
Qubes OS
RadiOS
Raidiator
Raspbian
RBASIC
RCOS
RCOSjava
RDOS
ReactOS
REAL-32
Realogy Real Time Architekt
REBOL-IOS
Red Flag
Red Hat
Red Hat Linux
RedHawk Linux
Redmond Linux
Redox
redWall Firewall
Remix OS
Repairlix
ReWin
REX-80/86
REXX/OS
RHODOS
RIoT
RIP
RISC OS
RISC-OS
RISC-OS-3.10
RISC-OS-3.50
RISC-OS-3.60
RISC-OS-3.70
RISC-OS-4.00
RMOS
RMS 68k
RMX/RDOS
Roadrunner
ROCK
Rock Linux
Rocket
Rocks Cluster
Rome
ROOT
ROS
ROSA
ROSLIMS
rPath
RR4 Linux
RSTS/E
RSX-11
RSX11M
RT Mach NTT
RT-11
RTE-A
RTEL
RTEMS
RTLinux
rtmk
RTMX
RTOS-32
RTOS-UH
RTS-80
RTX
RTXDOS
Rubix
RxDOS
S.Ha.R.K
Sabayon
Sabily
Sailfish OS
Salgix
Salix OS
Salvare
SAM
Samhain Linux
Sanos
Santa Fe
SATOPS
Sauver
SaxenOS
SCI.Linux
Scientific Linux
SCO
SCO Linux
SCO OpenServer
SCO-OPEN-DESKTOP-1.0
SCO-OPEN-DESKTOP-1.1
SCO-OPEN-DESKTOP-2.0
SCO-OPEN-DESKTOP-3.0
SCO-OPEN-DESKTOP-LITE-3.0
SCO-OPEN-SERVER-3.0
SCOPE
ScorchOS
ScottsNewOS
SCO-UNIX-3.2.0
SCO-UNIX-3.2V2.0
SCO-UNIX-3.2V2.1
SCO-UNIX-3.2V4.0
SCO-UNIX-3.2V4.1
SCO-UNIX-3.2V4.2
Scout
SCO-XENIX-386-2.3.2
SCO-XENIX-386-2.3.3
SCO-XENIX-386-2.3.4
SCP
SCP (System Control Program)
SCP-IBE
ScrudgeWare
SCS
Securepoint
Self-R
Sentry Firewall
SeOS
Sequent
Series 40
SEVMS VAX
Shark
SharpOS
ShawnOS
Shift Linux
Shinux
SIBO
SIMP
SimplyMEPIS
Sinclair
SINIX
SINTRAN III
Skolelinux
SkyOS
Slack/390
Slackintosh
Slackware
Slackware Linux
Slamd64
SLAMPP
slax
Slikware
SliTaz GNU/Linux
SLS
SLYNUX
SME Server
SmoothWall
sMultiTA
SnapGear Embedded Linux
SNAPPIX
Snøfrix
SOBS
SoL (Server optimized Linux)
Solar_OS
Solaris
Solbourne UNIX
SONiC
Sony Ericsson
Sony Playstation
Sorcerer
SOS
SOT Linux
Source Mage
SP6800
Spectra Linux
SphinxOS
Spice
Spice/MT
SPIN
Spinix
Splack
Splashtop
SPOX
SprezzOS
Spring
Squeak
SSP (System Support Program)
Stampede
STARCOS
STAR-OS
Starplex II OS
StartCom
STD
Sting
Stormix
StreamBOX
StreamOS
StressLinux
STUX
STX
Subgraph OS
Subsump
Sugar On A Stick
SuliX
SUMO
SUN
Sun Linux
Sun Solaris
Sun Wah
SunMOS
SunOS
SUN-OS-3.5
SUN-OS-4.0
SunriseOS
SuperDOS
SuperGamer
SuSE
SuSE Linux
SVM
SVR
SWIFT
Switch OS
Syllable
Symbian
Symbian OS
Symbian OS 6.x
Symbian OS 8.x
Symbian OS 9.x
SymbOS
Symobi
Symphony OS
Synapse
System 1
System 2
System 3
System 4
System 6
System 6 (Mac OS)
System 7
System 7 (Mac OS)
System V
System V Release
SystemRescue
T2
Tablix
Tabos
TAC
Tails (The Amnesic Incognito Live System)
TA-Linux
TalOS
TANDEM
Tao Live
TAOS
Taprobane
TechLinux
TENEX
THE
THE-MAJOR-BBS
Thinstation
Thix
ThreadX
ThrillOS
TI-99 4A
Tilix
Tinfoil Hat Linux
Tiny Core Linux
TinyOS
TIS APL
Titan LEV
Tizen
TNIX
tomsrtbt
Tomukas
Toophpix
Topologilinux
TOPS10
TOPS-10
TOPS20
TOPS-20
Topsy
Tornado
Torsion
TOS
Toutou
TP3010
TPF (Transaction Processing Facility)
TriangleOS
Trinity
Tripos
Trisquel GNU/Linux
Trixbox
TRON
Troppix
TRSDOS
TRS-DOS
Tru64 Unix
Trustix
Trustverse
Truva
TSX-32
TUD:OS
TumiX
TUNES
TupiServer
Tuquito
TurboDOS
Turbolinux
Turkix
UberOS
Ubuntu
Ubuntu Netbook Remix
Ubuntu Privacy Remix
UbuntuME
uClinux
UCSD-p
UDOS
Ufficio Zero
UHU-Linux
uL
Ulteo
Ultima
Ultrix
UMDS
UMN
Underground
Uni FLEX
UNI/OS
Unicos
UNICOS/lc
Unifix Linux
Unisys
Unisys U5000
Unix
Unix System
UNIX-BSD
UNIX-PC
UNIX-V
UNIX-V.1
UNIX-V.2
UNIX-V.3
UNIX-V1AT
UnixWare
Unknown
Unknown mobile
Unknown tablet
Unununium
uOS
Urli OS
UserLinux
USIX
UT2D
UTILEX
UTS
Ututo
Ututo XS
UXP/V
V
V2 OS
Vapour
Vector
VectorLinux
Veloce OS3
VERSAdos
Vidalinux
VideoLinux
Vine
VisiOn
Visopsys
Visual Network OS
VLOS
VM
VM/370
VM/CMS
VM/ESA
VM/SP
VM/VSE
VME
VMS
VMS/EUNICE
VNLinux
Voltalinux
Volumio
VRTX
VRTX/8002
VRTX/OS
VSE
VSOS
VSTa
VTOS
VxWorks
WAITS
WANG
WarLinux
Wazobia
Webfish Linux
WebOS
WEGA
WHAX
White Box
Whitix
WIENUX
WildMagnolia
WIN32
Wind River Linux
Windows
Windows 10
Windows 2000
Windows 2003
Windows 3.X
Windows 7
Windows 8
Windows 8.1
Windows 95
Windows 98
Windows 98 SE
Windows Automotive
Windows CE
Windows ME
Windows Mobile
Windows NT
Windows Phone
Windows Phone 7
Windows Phone 8
Windows Phone 8.1
Windows RT
Windows Server 2003
Windows Server 2003 R2
Windows Server 2008
Windows Server 2008 R2
Windows Vista
Windows XP
WINDOWS-95
WINDOWS-95-OSR1
WINDOWS-95-OSR2
WINDOWS-98
WINDOWS-CE
WINDOWS-NT
WINDOWS-NT-2
WINDOWS-NT-3
WINDOWS-NT-3.5
WINDOWS-NT-3.51
WINDOWS-NT-4
WINDOWS-NT-5
WINDOWS-NT-5.1
WINDOWS-NT-6
WINDOWS-NT-6.1
WinLinux 2001
WinMac
WinSlack
WIZRD
Wolvix
WOMP!
WORLDGROUP
WYSE-WYXWARE
X/OS
X11R3
Xandros
XAOS
Xarnoppix
Xbox OS
XDE
XDOS
Xenix
Xenoppix
X-evian
Xfld
Ximian Desktop
Xinu
x-kernel
xMach
XOS
xPud
Xteam
XtreemOS
XTS
Xubuntu
Yamit
Yaxic
Yellow Dog
YES
Yggdrasil Linux
Ylmf OS
Yoctix
Yoper
YunOS
z/OS
Z9001-OS
ZealOS
Zebuntu
Zentyal
Zenwalk
Zephyr
Zeroshell
Zeta
Zeus Zilog
zeVenOS
ZMOS
ZoneCD
Zorin OS 
ZotOS
ZRTS 8000 
z-VM
